line_id, line
1, "If you can keep your head when all about you"
2, "Are losing theirs and blaming it on you,"
3, "If you can trust yourself when all men doubt you,"
4, "But make allowance for their doubting too;"
5, "If you can wait and not be tired by waiting,"
6, "Or being lied about, don’t deal in lies,"
7, "Or being hated, don’t give way to hating,"
8, "And yet don’t look too good, nor talk too wise:"
9, ""
10, "If you can dream—and not make dreams your master;"
11, "If you can think—and not make thoughts your aim;"
12, "If you can meet with Triumph and Disaster"
13, "And treat those two impostors just the same;"
14, "If you can bear to hear the truth you’ve spoken"
15, "Twisted by knaves to make a trap for fools,"
16, "Or watch the things you gave your life to, broken,"
17, "And stoop and build ’em up with worn-out tools:"
18, ""
19, "If you can make one heap of all your winnings"
20, "And risk it on one turn of pitch-and-toss,"
21, "And lose, and start again at your beginnings"
22, "And never breathe a word about your loss;"
23, "If you can force your heart and nerve and sinew"
24, "To serve your turn long after they are gone,"
25, "And so hold on when there is nothing in you"
26, "Except the Will which says to them: ‘Hold on!’"
27, ""
28, "If you can talk with crowds and keep your virtue,"
29, "Or walk with Kings—nor lose the common touch,"
30, "If neither foes nor loving friends can hurt you,"
31, "If all men count with you, but none too much;"
32, "If you can fill the unforgiving minute"
33, "With sixty seconds’ worth of distance run,"
34, "Yours is the Earth and everything that’s in it,"
35, "And—which is more—you’ll be a Man, my son!"